date,doy,linear_fill,is_real_obs,gap_days_to_obs,sg_w11_p2,sg_w11_p3,sg_w21_p2,sg_w21_p3,sg_w31_p2,sg_w31_p3,sg_w41_p2,sg_w41_p3
2026-01-09,116,0.10831368198644432,False,11.0,0.1083136819864443,0.10831368198644432,0.10831368198644431,0.10831368198644425,0.10537648207702756,0.10537648207702754,0.1025749573524791,0.10257495735247946
2026-01-10,117,0.10925504961642392,False,12.0,0.10925504961642389,0.1092550496164239,0.10925504961642388,0.10925504961642381,0.10719459283786315,0.10719459283786312,0.10374930433870683,0.10374930433870719
2026-01-11,118,0.11019641724640351,False,13.0,0.11019641724640346,0.11019641724640349,0.11019641724640349,0.11019641724640342,0.10901159938820647,0.10901159938820647,0.105180452701249,0.10518045270124939
2026-01-12,119,0.11113778487638311,False,14.0,0.1111377848763831,0.11113778487638311,0.11113778487638307,0.11113778487638303,0.11068947541652478,0.11068947541652478,0.10680884738993993,0.10680884738994026
2026-01-13,120,0.1120791525063627,False,15.0,0.11207915250636269,0.1120791525063627,0.11207915250636268,0.11207915250636262,0.11207915250636272,0.11207915250636269,0.10857016895060062,0.10857016895060095
2026-01-14,121,0.1130205201363423,False,16.0,0.11302052013634226,0.11302052013634227,0.11302052013634226,0.11302052013634219,0.11302052013634231,0.11302052013634233,0.110395333525039,0.11039533352503932
2026-01-15,122,0.11396188776632189,False,17.0,0.11396188776632188,0.11396188776632189,0.11396188776632186,0.11396188776632182,0.11396188776632188,0.11396188776632186,0.11221049285104946,0.1122104928510498
2026-01-16,123,0.11490325539630149,False,18.0,0.11490325539630147,0.11490325539630149,0.11490325539630142,0.11490325539630139,0.11490325539630152,0.1149032553963015,0.11393703426241344,0.11393703426241375
2026-01-17,124,0.11584462302628108,False,19.0,0.11584462302628104,0.11584462302628105,0.11584462302628104,0.11584462302628099,0.11584462302628108,0.11584462302628108,0.11549158068889893,0.11549158068889923
2026-01-18,125,0.11678599065626066,False,20.0,0.11678599065626064,0.11678599065626065,0.11678599065626064,0.11678599065626058,0.11678599065626068,0.11678599065626068,0.11678599065626066,0.11678599065626095
2026-01-19,126,0.11772735828624026,False,21.0,0.11772735828624022,0.11772735828624023,0.11772735828624022,0.11772735828624016,0.11772735828624027,0.11772735828624026,0.11772735828624027,0.11772735828624059
2026-01-20,127,0.11866872591621985,False,22.0,0.11866872591621982,0.11866872591621985,0.1186687259162198,0.11866872591621974,0.11866872591621988,0.1186687259162199,0.1186687259162199,0.11866872591622016
2026-01-21,128,0.11961009354619945,False,23.0,0.11961009354619945,0.11961009354619943,0.1196100935461994,0.11961009354619935,0.11961009354619945,0.11961009354619946,0.11961009354619949,0.11961009354619978
2026-01-22,129,0.12055146117617904,False,24.0,0.12055146117617904,0.12055146117617906,0.12055146117617899,0.12055146117617895,0.12055146117617906,0.12055146117617904,0.12055146117617906,0.12055146117617938
2026-01-23,130,0.12149282880615864,False,25.0,0.12149282880615858,0.1214928288061586,0.1214928288061586,0.12149282880615854,0.12149282880615864,0.12149282880615864,0.12149282880615865,0.121492828806159
2026-01-24,131,0.12243419643613823,False,26.0,0.12243419643613819,0.1224341964361382,0.12243419643613818,0.1224341964361381,0.12243419643613826,0.12243419643613825,0.12243419643613829,0.12243419643613854
2026-01-25,132,0.12337556406611783,False,27.0,0.1233755640661178,0.12337556406611783,0.12337556406611778,0.12337556406611773,0.12337556406611784,0.12337556406611783,0.12337556406611788,0.12337556406611815
2026-01-26,133,0.12431693169609742,False,28.0,0.12431693169609742,0.12431693169609741,0.12431693169609734,0.12431693169609731,0.12431693169609745,0.12431693169609744,0.12431693169609744,0.12431693169609774
2026-01-27,134,0.12525829932607702,False,29.0,0.12525829932607696,0.12525829932607702,0.12525829932607696,0.12525829932607688,0.12525829932607702,0.12525829932607702,0.12525829932607707,0.12525829932607738
2026-01-28,135,0.1261996669560566,False,30.0,0.12619966695605656,0.12619966695605658,0.12619966695605658,0.12619966695605653,0.12619966695605664,0.12619966695605664,0.1261996669560566,0.12619966695605694
2026-01-29,136,0.1271410345860362,False,29.0,0.12714103458603618,0.12714103458603618,0.12714103458603615,0.1271410345860361,0.1271410345860362,0.1271410345860362,0.12714103458603623,0.12714103458603654
2026-01-30,137,0.1280824022160158,False,28.0,0.12808240221601574,0.1280824022160158,0.12808240221601574,0.1280824022160157,0.12808240221601583,0.12808240221601583,0.1280824022160158,0.12808240221601613
2026-01-31,138,0.1290237698459954,False,27.0,0.12902376984599534,0.12902376984599537,0.12902376984599534,0.12902376984599528,0.1290237698459954,0.1290237698459954,0.12902376984599542,0.1290237698459957
2026-02-01,139,0.129965137475975,False,26.0,0.12996513747597496,0.129965137475975,0.12996513747597496,0.1299651374759749,0.12996513747597502,0.12996513747597502,0.12996513747597502,0.12996513747597535
2026-02-02,140,0.13090650510595458,False,25.0,0.13090650510595458,0.13090650510595458,0.13090650510595453,0.13090650510595447,0.1309065051059546,0.1309065051059546,0.1309065051059546,0.13090650510595492
2026-02-03,141,0.13184787273593418,False,24.0,0.13184787273593418,0.13184787273593418,0.13184787273593412,0.1318478727359341,0.13184787273593418,0.1318478727359342,0.1318478727359342,0.13184787273593448
2026-02-04,142,0.13278924036591377,False,23.0,0.13278924036591372,0.13278924036591375,0.1327892403659137,0.1327892403659136,0.13278924036591377,0.13278924036591377,0.13278924036591383,0.13278924036591414
2026-02-05,143,0.13373060799589337,False,22.0,0.13373060799589334,0.13373060799589337,0.1337306079958933,0.13373060799589323,0.13373060799589337,0.13373060799589334,0.13373060799589337,0.13373060799589367
2026-02-06,144,0.13467197562587296,False,21.0,0.13467197562587294,0.1346719756258729,0.13467197562587288,0.13467197562587288,0.13467197562587296,0.134671975625873,0.13467197562587302,0.13467197562587332
2026-02-07,145,0.13561334325585256,False,20.0,0.13561334325585253,0.1356133432558526,0.13561334325585248,0.13561334325585242,0.1356133432558526,0.13561334325585256,0.1356133432558526,0.13561334325585292
2026-02-08,146,0.13655471088583215,False,19.0,0.1365547108858321,0.1365547108858321,0.13655471088583213,0.13655471088583207,0.13655471088583215,0.13655471088583218,0.13647760612363782,0.13647760612363816
2026-02-09,147,0.13749607851581175,False,18.0,0.13749607851581172,0.13749607851581175,0.1374960785158117,0.13749607851581164,0.13749607851581178,0.1374960785158118,0.13728505495612195,0.13728505495612228
2026-02-10,148,0.13843744614579134,False,17.0,0.1384374461457913,0.13843744614579132,0.1384374461457913,0.1384374461457912,0.13843744614579134,0.13843744614579132,0.1380549399301011,0.13805493993010143
2026-02-11,149,0.13937881377577094,False,16.0,0.1393788137757709,0.13937881377577094,0.13937881377577085,0.1393788137757708,0.13937881377577097,0.13937881377577094,0.1388054706722744,0.13880547067227475
2026-02-12,150,0.14032018140575053,False,15.0,0.1403201814057505,0.14032018140575053,0.14032018140575045,0.14032018140575037,0.14032018140575053,0.14032018140575053,0.13955381625924382,0.13955381625924415
2026-02-13,151,0.14126154903573013,False,14.0,0.1412615490357301,0.1412615490357301,0.14126154903573004,0.14126154903572996,0.14116363784879382,0.14116363784879382,0.14031610521751425,0.14031610521751461
2026-02-14,152,0.1422029166657097,False,13.0,0.14220291666570967,0.1422029166657097,0.14220291666570964,0.1422029166657096,0.14194415138594943,0.14194415138594943,0.1411074255234935,0.14110742552349384
2026-02-15,153,0.1431442842956893,False,12.0,0.1431442842956893,0.14314428429568932,0.14314428429568926,0.1431442842956892,0.1426942786926766,0.14269427869267656,0.1419418246034922,0.14194182460349256
2026-02-16,154,0.14408565192566888,False,11.0,0.14408565192566886,0.14408565192566886,0.14408565192566883,0.14408565192566877,0.14344416483884473,0.1434441648388447,0.14283230933372412,0.14283230933372446
2026-02-17,155,0.14502701955564848,False,10.0,0.14502701955564845,0.14502701955564848,0.14502701955564845,0.14502701955564837,0.14422154328873396,0.14422154328873396,0.14379084604030568,0.14379084604030604
2026-02-18,156,0.14596838718562807,False,9.0,0.145968387185628,0.14596838718562802,0.14583507332905854,0.14583507332905848,0.1450517359010346,0.14505173590103465,0.14498655977411085,0.1449865597741112
2026-02-19,157,0.14690975481560767,False,8.0,0.1469097548156076,0.1469097548156076,0.1465838764995489,0.14658387649954885,0.14595765292884763,0.1459576529288476,0.14638770437294227,0.1463877043729426
2026-02-20,158,0.14785112244558726,False,7.0,0.14785112244558724,0.14785112244558726,0.1473396961888061,0.14733969618880602,0.14695979301968423,0.1469597930196842,0.1479636280674862,0.14796362806748659
2026-02-21,159,0.14879249007556686,False,6.0,0.14879249007556683,0.14879249007556683,0.14816100338655358,0.14816100338655347,0.14807624321546622,0.14807624321546622,0.1496847734813122,0.14968477348131257
2026-02-22,160,0.14973385770554645,False,5.0,0.14973385770554642,0.14973385770554645,0.14909847295055156,0.14909847295055148,0.14932267895252574,0.14932267895252574,0.15152267763087318,0.15152267763087363
2026-02-23,161,0.15067522533552605,False,4.0,0.1504750991732166,0.15047509917321658,0.15019498360659736,0.1501949836065973,0.15091325280482482,0.15091325280482482,0.15333554446679748,0.1533355444667979
2026-02-24,162,0.15161659296550564,False,3.0,0.15126637218146413,0.15126637218146413,0.15148561794852503,0.15148561794852491,0.15278707101779537,0.15278707101779537,0.15512721228043855,0.155127212280439
2026-02-25,163,0.15255796059548524,False,2.0,0.15230224383253432,0.15230224383253432,0.1529976624382055,0.15299766243820542,0.15488577622988098,0.15488577622988098,0.15690106952582125,0.1569010695258217
2026-02-26,164,0.15349932822546483,False,1.0,0.15372169062803084,0.15372169062803084,0.1547506074055465,0.1547506074055464,0.1571535474725373,0.15715354747253726,0.158660054819642,0.15866005481964243
2026-02-27,165,0.15444069585544443,True,0.0,0.1556080984689159,0.15560809846891588,0.15675614704849292,0.15675614704849275,0.15953710017023187,0.15953710017023182,0.16040665694126843,0.16040665694126888
2026-02-28,166,0.15776690025294438,False,1.0,0.15798926265551036,0.15798926265551036,0.15929170541037327,0.15929170541037316,0.16184038087029767,0.1618403808702977,0.1622037182817588,0.1622037182817592
2026-03-01,167,0.16109310465044432,False,2.0,0.16083738788749338,0.16083738788749338,0.16220142554890213,0.16220142554890205,0.164067072522564,0.164067072522564,0.16403682703818692,0.16403682703818734
2026-03-02,168,0.16441930904794427,False,3.0,0.16406908826390276,0.1640690882639028,0.16533765006102072,0.1653376500610206,0.16621981552233153,0.1662198155223315,0.16589194212966432,0.1658919421296648
2026-03-03,169,0.16774551344544422,False,4.0,0.16754538728313478,0.1675453872831348,0.16856092108289703,0.16856092108289691,0.1683002077103722,0.1683002077103722,0.16775539319733976,0.16775539319734017
